time;username;komen;rating;label
7 bulan lalu;Muhammad;Mantap, banet, bareng dateng sesuai keinginan;5;Positif
10 bulan lalu;Af;Boleh lah bisa harusnya masuk pasar inter axioo ih;5;Positif
11 bulan lalu;Wu;semoga awet di pakai;5;Positif
Lebih dari 1 tahun lalu;Muh;berfungsi sangat  baik trimaksih;5;Positif
Lebih dari 1 tahun lalu;Nanda;Mantap diterima dengan baik sampai ke Lampung, adminnya baik minta installin office dikasih juga, tks.;5;Positif
3 hari lalu;kristofer;barang sesuai deskripsi. berfungsi dengan baik.;5;Positif
2 bulan lalu;Imam;Keren banget sih axioo ini;5;Positif
5 bulan lalu;Ismail;sesuai deskripsi. penjualnya pun fast respon+fast proses. makasih. next orderan selanjutnya...;5;Positif
6 bulan lalu;Ti;Terbaik adminnya respon cepat;5;Positif
7 bulan lalu;Muhammad;mantap sekali barangnya ;5;Positif
10 bulan lalu;Adolf;Boleh lah, bisa nih saya rekomen untuk sanak saudara;5;Positif
11 bulan lalu;Wa;mantap gan mendarat dengan selamat...semoga aj awet...;5;Positif
Lebih dari 1 tahun lalu;Muhammad;netbook nya berfungsi dengan baik trimaksih;5;Positif
Lebih dari 1 tahun lalu;Nanda;Mantap diterima dengan baik sampai ke Lampung, adminnya baik minta installin office dikasih juga, tks.;5;Positif
Lebih dari 1 tahun lalu;Wu;layar tiba tiba bergaris padalah baru di pakai;2;Negatif
Lebih dari 1 tahun lalu;randy;laptop tiba tiba tidak mau di cas;1;Negatif
Lebih dari 1 tahun lalu;nando;layar bergaris secara tiba tiba;2;Negatif
Lebih dari 1 tahun lalu;ez;tiba tiba laptop mati dan tidak mau menyala;1;Negatif
Lebih dari 1 tahun lalu;rian;semua udah ok cuman packingan kurang aman;3;Negatif
Lebih dari 1 tahun lalu;hs;barang tidak lengkap dan ada yang kurang;2;Negatif
Lebih dari 1 tahun lalu;Vebriana;keyboard rusak, tidak dapat di pakai dengan baik;1;Negatif
Lebih dari 1 tahun lalu;Pi;Barang sangat jelek jangan beli di sini dijamin menyesal seumur hidup, tidak ada respons untuk komplain, barang ketahan di bandara tapi tidak ada respons;1;Negatif
2 bulan lalu;gusde;baru juga beli dipake buat tugas doang sama kuliah eh udah bergaris apa coba;1;Negatif
Lebih dari 1 tahun lalu;va;barang belum 5 hari layarnya sudah bermasalah. minta ganti baru adminnya entah ga ngerti atau purapura ga ngerti terus. di deskripsi bilang garansi 5 hari diganti baru tapi sebelum 5 hari selesai otomatis.;1;Negatif
5 bulan lalu;Thio;baru di pakai sdh ada garis di layar. untuk pengemalian prosedurnya lama dan merepotkan.;1;Negatif
Lebih dari 1 tahun lalu;So;layarnya kurang bagus;2;Negatif
3 bulan lalu;Fahri;Drivernya tolong diceck lagi min. Driver Wifi saya bermasalah, hidup mati hidup mati setiap 2/3 menit.;3;Negatif
1 minggu lalu;Sy;Barang dibeli belum ada 1 bulan tapi sudah rusak. LCD bermasalah, layar setengah menghitam. Dari toko garansi hanya 5 hari. Laptop setelah dibawa ke service center AXIOO,... ;2;Negatif
3 minggu lalu;Dl;Price to performance terbaik di rentang harga ini.;5;Positif
3 minggu lalu;Arsaina;sampai dgn slamat dan sesuai pesanan...;5;Positif
4 minggu lalu;Adhie;seller responsif, enak diajak diskusi perihal pengiriman ke batam. laptop tiba di batam selamat menggunakan palet ini laptop paling ok dalam price for value. Paling mur... ;5;Positif
1 bulan lalu;Zy;seeep barang sampek dengan selamat... semoga awet;5;Positif
1 bulan lalu;Ma;barang sampai dengan selamat, kelengkapan sesuai dengan deskripsi. untuk ulasan selanjutnya menyusul;5;Positif
1 bulan lalu;Rendy;ud ditest run untuk game lancarrr adminny jg fast resp jadi seneng blanja dsni;5;Positif
1 bulan lalu;Jushiro;Layar IPS, full HD. ryzen 3500u (4c8t). ram 8gb, masih ada 1 slot kosong buat nambah. SSD 256GB, ada 1 slot lg buat nambah m2. Puaaaas bangeet. dan laptop ini tipis yah.;5;Positif
1 bulan lalu;Uk;Sesuai spesifikasi yg dicantumkan.;5;Positif
1 bulan lalu;mhd;barang kurang memuaskan tidak ada kejelasan dari penjual karena bara tiba tiba mati baru dipakai 2 minggu;3;Negatif
Lebih dari 1 tahun lalu;Muhammad;Huruf T pada keyboard sudah terlepas. Pengaitnya patah. Produk yang dikirimkan cacat;3;Negatif
1 hari lalu;Pu;blm ada setahun baterai kembung, diperbaiki di service center, lalu sekarang kembung untuk yg kedua kalinya.;1;Negatif
2 minggu lalu;Tk;Produk diterima dengan kondisi baik dan sesuai dengan order. Produk sudah dicoba dan bekerja dengan baik. CD Driver ada, CD Windows tidak ada.;5;Positif
1 bulan lalu;Di;barangnya ok, tapi salah warna aja;4;Positif
1 bulan lalu;M;baterai tidak dapat di cas;3;Negatif
1 bulan lalu;Marti;Alhamdulillah barang sudah mendarat dengan selamat, makasih om admin kiriman nya cepet leptop ok;5;Positif
2 bulan lalu;Uu; barang datang dengan keadaan sedikit lecet;3;Negatif
3 bulan lalu;ra;Baguuss sesuai ekspektasi cukup puaass banget... si admin fast respon mantaappp poolll, cuman ya itu minus si kurirnya tlol padahal mau nyampe 1-H ternyata nya 2-H... ;5;Positif
4 bulan lalu;Si;laptop sesuai, kualitas baik penjual ramah dan respons sangat cepat;5;Positif
9 bulan lalu;nazir;Baterenya tahan lama. Layar tipis. Desainnya simpel. Tampilannya keren . Packaging aman;5;Positif
10 bulan lalu;Wadya;fast respond, recomended seller;5;Positif
1 minggu lalu;Andi;good service & product;5;Positif
2 minggu lalu;Muhammad;Good, product bagus;5;Positif
1 bulan lalu;Naufal;Worth to buy untuk harga segini.;5;Positif
1 bulan lalu;Karyoto;mantaaaaap, barang datang sesuai keinginan;5;Positif
1 bulan lalu;Rinji;bagus banget pas buat sekolah;5;Positif
1 bulan lalu;Ferdy;sejauh ini okee, cocok sama harganya;5;Positif
2 bulan lalu;RIANA;keyboard kurang berfungsi ;2;Negatif
2 bulan lalu;Ai;barang sesuai spec, kualitas bagus, gak kalah sama merk2 luar. packing aman. recommended banget ini.;5;Positif
3 bulan lalu;Ta;Instal windowsnya gak rampung terkesan buru-buru. Selebihnya barang diterima dengan baik.;3;Negatif
3 bulan lalu;an;baguss. screen display nya mantep. kosongan banget laptopnya;5;Positif
1 minggu lalu;Andree;good product, I love it;5;Positif
3 bulan lalu;Dian;good lah pokoknya;5;Positif
3 bulan lalu;Agung;Barang baru dan mulus, paking baik. dan kurirpun cepet. br bs kasih ulasan soalnya sy videokan sesuai deskripsi dipaket. SDH di tes, dan normal. cuma agak agak panas gitu... ;5;Positif
3 bulan lalu;Sutomo;bentuk nya ok. ringkas dan ringan. spec nya mengikuti harga. mudah2an awet;5;Positif
4 bulan lalu;ri;semoga bermanfaat buat anak sekolah..;5;Positif
4 bulan lalu;Yuyun;pembelian yg kedua, dan masih tetap ok bingit pelayanan dan pengirimannya penjual juga responsif sekali. dan dikasih bonus mouse;5;Positif
4 bulan lalu;Muhammad;barang diterima dengan baik packingnya bagus tebal dan safety, modelnya ternyata lebih bagus dari ekspektasi super tipis, performanya lumayanlah buat kerja ringan, dan ha... ;5;Positif
4 bulan lalu;To;gila gila keren banget leptop nya :) makasih kakk perdana beli leptop di online sih ternyata bagus banget... walaupun masih sedikit bingung soalnya gk pernah pake axioo d... ;5;Positif
4 bulan lalu;Ya;Sehari sampai. Laptop tdk ada masalah, sudah dicek. Dapet gratis tas laptop jg.;5;Positif
5 bulan lalu;Yoris;sampai dengan aman;5;Positif
5 bulan lalu;gwengeorgia;good service, produknya oke banget;5;Positif
1 minggu lalu;Muhamad;bagus banget;5;Positif
1 minggu lalu;Di;katanaya bonus filasdisk ,mana ga da,kalau ga da jangan di cantumin dapat bonus flasdisk.;4;Positif
2 minggu lalu;Andi;ini recommended banget. cocok buat anak sekolahan. ringan, ram gede, enak dibawa. build qualitynya oun mantap.;5;Positif
1 bulan lalu;Akhirullah;mantap berfungsi degn baik bahkan sdh ada windows 10 pro nya, thanks. penjual respon cepat, maaf baru ada ulasan soalnya baru buka barang ini hari;5;Positif
1 bulan lalu;Daniel;tingkiu Axioo, barang yg diorder sesuai pesanan. Gitu barang datang, divideoin pas unboxing. setelah dicek tidak ada masalah, semuanya OK, langsung update windowsnya.;5;Positif
1 bulan lalu;M;semuanya aman, hanya 1 yang kurang, cepat panas saat digunakan;4;Positif
1 bulan lalu;Devia;pengiriman cepat sekali,semoga barangnya awet;4;Positif
1 bulan lalu;Haj;mantafff banget gan;5;Positif
1 bulan lalu;Za;produk saya bermasalah kemarin.;2;Negatif
2 bulan lalu;Maryani;Alhamdulillah sampai makasih ya;5;Positif
3 bulan lalu;Chairul;CD Driver Patah. kenapa drivernya di letakin di luar dus?? yg begini² toko yg tidak memperhatikan detail keamanan Pengiriman. ujung2 nya nyalahkan kurir. kalau kalian lbh... Selengkapnya;1;Negatif
3 bulan lalu;Syafiq;sesuai deskripsi mantap sekali gan;5;Positif
3 bulan lalu;Kt;barang kurang memuaskan karena tiba tiba layar muncul garis tanpa sebab;2;Negatif
3 bulan lalu;Sinta;fast respon, barang cepat sampai dan bagus ;5;Positif
4 bulan lalu;Fy;asik, sempet resah krn lupa order packing kayu. tp packing bawaannya udah bagus, laptop mulus, aplikasi lancar, layar pop up warnanya, cuma ga ada fan, jadi sll sedia fan... Selengkapnya;5;Positif
4 bulan lalu;Rizqi;sempat takut karena pernah ada yang salah paket, alhamdulillah punya saya dikirim dengan benar, dan barang berfungsi dengan baik;5;Positif
4 bulan lalu;Da;mantap sellernya, check out minggu pagi, selasa siang sudah sampai paketnya;5;Positif
4 bulan lalu;Mira;pesanan gray tapi kosong dikonfirmasi brown terlebih dahulu setelah disetujui baru dikirim. body lumayan tapi mudah berbekas dan sulit dibersihkan, sedikit kurang kokoh.... Selengkapnya;3;Negatif
4 bulan lalu;Ag;Buat anak sekolah cukuplah, youtube, yt music, browsing, office lancar jaya. Layarnya jernih, 2K.;5;Positif
4 hari lalu;Rizki;Mantapp gak pakek lama barang datang;5;Positif
1 bulan lalu;Ad;paket sudah diterima dengan baik sesuai dengan pesanan desain laptop yang bagus slim dan ringan performa os win 10 masih ok lah seller yang good recomended semoga laptop... ;5;Positif
1 bulan lalu;Indra;proses sangat cepat, pelayanan ramah, barang bagus.. top seller;5;Positif
2 bulan lalu;Yohanes;pesanan yg kedua. barang sduh sampai dengan amat baik n cepat. penjual responsif. dapat bonus tas dan mouse. semoga awet. makasih gan;5;Positif
2 bulan lalu;Suparjo;kualitas bagus, desain keren, spesifikasi mantap harga murah. semoga awet;5;Positif
3 bulan lalu;Yohanes;barang sudah sampai dengan selamat... sesuai deskripsi dan sudah dites nyala dan terinstall win10 bawaan... tinggal instal aplikasi2 dan aktivasi.... makasi gan....;5;Positif
3 bulan lalu;EY;pengiriman cepat. respon penjual ramah dan memuaskan. packing aman. lagi ada promo. lumayan.. terimakasih.;5;Positif
4 bulan lalu;Fajar;ok mantab, tinggal pakai, sdh ada win 10 + officenya..;5;Positif
4 bulan lalu;Muhammad;paket diterima. Laptopnya keren. recomendded seller;5;Positif
4 bulan lalu;Viviyan;produk cepat rusak padahal baru dipakai 3 bulan;2;Negatif
5 bulan lalu;Trisna;Laptop keren mirip macbook sekilass;5;Positif
5 bulan lalu;Annisa;Alhamdulillah pengiriman cepat. Laptop sampai dengan selamat. semua lengkap dapat bonus mouse dan tas juga. Terimakasih seller dan kurir;5;Positif
6 bulan lalu;Jn;ada beberapa bagian tidak berfungsi dengan baik;1;Negatif
7 bulan lalu;Mk;Sip keseluruhan aman;5;Positif
7 bulan lalu;Fajar;Alhamdulillah Barang nya sudah sampai respon cepat sama mas mbk admin nya mereka sabar banget kita tanya tanya tentang yang mau kita beli.pokoknya best banget... terimaka... ;5;Positif
7 bulan lalu;arbisam;seller responsif,barang oke banget puas belanja di official axioo tinggal nunggu bonusnya datang.;5;Positif
8 bulan lalu;Abdul;fast respons..barang bagussss..mantaff..terimkasih;5;Positif
8 bulan lalu;emil;pelayanan ramah, laptopnya keren;5;Positif
3 hari lalu;Radian;Barang sehari sampe, yg datang mulus baru, packing sangat rapih dan aman. Kalo perfoma karena core i7 jadi ya oke Agan nya baik fast respon, nanya apapun dijawab. Pokonya... ;5;Positif
1 minggu lalu;skyblue;packing bagus, warna laptop sesuai requet dan box aman masih tersegel. semua sesuai dgn deskripsi;5;Positif
1 minggu lalu;bn;kualita bagus, harga terjangkau, tipis, ringan.;5;Positif
2 minggu lalu;Arfie;respon dan pengiriman cepat;5;Positif
2 minggu lalu;ra;cepet banget pingirimanya. lebih cepat dari estimasi yang diperkirakan;5;Positif
2 minggu lalu;Fd;okee, Mantap, barang keseluruhan aman;5;Positif
3 minggu lalu;Naufal;bagus, original, dan terpercaya;5;Positif
3 minggu lalu;Ri;responsif seller nya .... berfungsi dan sesuai deskripsi ... good service;5;Positif
3 minggu lalu;yudin;muantapp poll kondisi sampai ok banget ngak rugi beli laptop ini;5;Positif
3 minggu lalu;Raden;Penjualnya cepat tanggap. Awalnya minta merah, tapi pengen ganti warna grey, ternyata langsung ditanggapi. kirim jumat sampai Minggu, padahal ke Bukittinggi. Cepat, di lu... ;5;Positif
3 minggu lalu;Yn;xpresssss kiriman;5;Positif
3 minggu lalu;Aziz;Respon seller sangat cepat. laptop berfungsi dengan baik. harga oke banget;5;Positif
1 bulan lalu;Baktiar;fast response, recommended;5;Positif
1 bulan lalu;Aspia;layar tidak dapat menyala dan warna tulisan keyboard tidak jelas;2;Negatif
1 bulan lalu;Muhamad;mantap, aman, cepet. good seller. sangat recomend. untuk barangnya juga bagus. pasti beli lagi kalo diskonan lagi.;5;Positif
2 bulan lalu;Oleh;Mantap, barang original sesuai deskripsi;5;Positif
2 bulan lalu;IQBAL;Barang dapat digunakan dengan optimal;5;Positif
2 bulan lalu;Revata;keren barangnya joss;5;Positif
3 bulan lalu;Reyhan;layar dan keyboarnya bagus;4;Positif
3 bulan lalu;HP;Penjual ramah;5;Positif
4 bulan lalu;Cicilia;jangan beli laptop ini. setelah 7 bulan pemakaian, tidak bisa di charge lagi. silahkan google masalah laptop infinix supaya tidak menyesal kemudian hari. utk klaim garansi harus urus sendiri. toko online ini tidak membantu. malah langsung ditakut2i, kerusakan charger tidak garansi. dan garansi silahkan urus sendiri. murah awalnya, jadi mahal akhirnya. plus capek tenaga & waktu.;1;Negatif
6 hari lalu;Goda;bagus banget;5;Positif
2 minggu lalu;An;good banget min, jadi pengen beli lagi;5;Positif
3 minggu lalu;Alfin;Bagus bnget mantap lh gak nyese;5;Positif
1 bulan lalu;ui;mantap laptop bagus pengiriman cuma 1 hari;5;Positif
1 bulan lalu;Widiana;Sangat affordable untuk harga segitu, laptopnya comfortable juga, ringan. Namun saat pertama kali datang layarnya tidak diberi penutup segel kuning itu, jd agak disayangk... ;5;Positif
1 bulan lalu;MM;Barangnya bagus banget, semoga awet.;5;Positif
2 bulan lalu;Gabriel;kerennn buat sekolah or kerja, but memang harga segini belum bisa buat main game, either itu hanya point blank sekalipun.;5;Positif
6 bulan lalu;Muh;mantap semoga awet;5;Positif
7 bulan lalu;cn;semoga awet dan tahan lama;5;Positif
7 bulan lalu;teguh;Bagus barangnya, kualitasnya juga ok;5;Positif
7 bulan lalu;Ahmad;pelayanan terbaik, sempat ada yang tertinggal tapi tanggung jawab dan langsung dikirimkan;5;Positif
7 bulan lalu;Ea;Paket nya mendarat dengan aman, laptop nya jg bagus. dan dapet free nya banyak bgt. dpt free mouse, mousepad, dan sleeve case nya jg;5;Positif
7 bulan lalu;Dominicus;Layarnya mantab, cuman emang lemot, buka utube yg 1440p aja ngelag. Yah... Maklum lah procie nya begini. Overall oke. Oh ya, chargernya ringkih banget. Lebih baik tambah... ;5;Positif
7 bulan lalu;bayu;beli ke 2 kali disini.. masih lancar aman;5;Positif
8 bulan lalu;By;recomended seller and fast response;5;Positif
8 bulan lalu;Oktavian;mantap banget barangnya;5;Positif
8 bulan lalu;Indra;Kualitas produk bagus.. Packing rapi+aman dan fast response.. Recommended Sellers.. Terima Kasih..;5;Positif
8 bulan lalu;bayu;puas.. pengiriman lancar dan barang aman sentosa;5;Positif
8 bulan lalu;ratno;puas, sesuai ekpektasi + instal windows 10 admin + kurir layanan prima;5;Positif
8 bulan lalu;Daniel;kemasan oke paketan agak rembes air entah darimana tapi tidak sampai tembus ke dalam.;5;Positif
1 bulan lalu;Yusup;barang cocok sesuai diskripsi. berjalan normal lancar;5;Positif
6 bulan lalu;Syam;penjual fast respon, barang oke, pengiriman cepat. top markotop deh;5;Positif
6 bulan lalu;Ryan;alhamdulillah respon bagus. barang juga bagus, pengiriman cepat. Surabaya - Bangkalan cuman 1 hari;5;Positif
6 bulan lalu;Udin;bagus lah. pengiriman super cepat. packing super aman. barang oke banget;5;Positif
8 bulan lalu;Ong;Sangat bagus Respon penjual nya, laptop nya juga bagus, sangat rekomendasi, next pasti beli lagi disini, Krn perlu laptop banyak,Terima kasih;5;Positif
9 bulan lalu;A***i;Mantab, barang sesuai dgn deskripsi;5;Positif
9 bulan lalu;Maya;jos gandos...di bantu selernya buat isntal app.jd tinggal pake. tq kaka;5;Positif
Lebih dari 1 tahun lalu;D***a;Kualitas produk baik pengiriman barang cepat, Seller ramah Trimakasih seller;5;Positif
Lebih dari 1 tahun lalu;Fx;Harga terjangkau dan kualitas produk oke;5;Positif
Lebih dari 1 tahun lalu;Yopie;untuk pembelian ke sekian kalinya, mantap dah.. terima kasih gan sukses selalu;5;Positif
Lebih dari 1 tahun lalu;Timotius;puasss banget dengan barangnya;5;Positif
Lebih dari 1 tahun lalu;Adi;Berfungsi dengan baik;5;Positif
Lebih dari 1 tahun lalu;A;Barang cepat sampai untuk surabaya langsung saya terima dalam kurun waktu kurang dari 3 Jam. Sesuai komitmen. Terima kasih banyak gan.;5;Positif
Lebih dari 1 tahun lalu;Afauddin;bagus sih, cuman adak agak baret dibagian bawahnya, dan ada beberapa yang terkelupas;2;Negatif
Lebih dari 1 tahun lalu;Firman;seller responsif dan pengiriman cepat;5;Positif
Lebih dari 1 tahun lalu;Yopie;cepat tepat mantap;5;Positif
Lebih dari 1 tahun lalu;Imanudin;Mantap cpt sampai brg original, pelayanan yg memuaskan. Maju trs utk tokonya.. Recomended.;5;Positif
Lebih dari 1 tahun lalu;E***r;Mantap, namum ada beberapa bagian kurang berfungsi;3;Negatif
Lebih dari 1 tahun lalu;T***i;nice banget, seller ramah sekali, fast respon, diinstalkan sampai siap pakai, produk great quality juga, ga perlu ragu untuk belanja di toko ini.. thankyou kak memuaskan.... ;5;Positif
Lebih dari 1 tahun lalu;Hari;fast respon untuk penjualnya, barang yg dikirim aman & sesuai;5;Positif
Lebih dari 1 tahun lalu;Hardian;Respon cepat sesuai keinginan;5;Positif
Lebih dari 1 tahun lalu;Muhammad;Pelayanan bagus,ramah dan cepat;5;Positif
Lebih dari 1 tahun lalu;a***i;Produk mantab sesuai deskripsi. Worth banget dengan harga segitu, cocok buat yg sering mobile & presentasi. Seller responsif, 24 jam laptop sudah ditangan dan kondisi... ;5;Positif
Lebih dari 1 tahun lalu;N***e;seller responsif, laptop sudah siap pakai, sudah pakai hardisk ssd, harga terjangkau, cocok buat anak sekolah online.;5;Positif
Lebih dari 1 tahun lalu;newnetstore;joss lah samoe dengan selamat dan di cek lancarr ssd cepatt performas 11 12 core i3 7 gen u series packing aman;5;Positif
Lebih dari 1 tahun lalu;Ahirullah;mantap barangnya dan bagus;4;Positif
Lebih dari 1 tahun lalu;Y***i;barang OK, meskipun pengirimannya hampir 3 minggu, tapi memang lambat di kurirnya. penjual sangat membantu dan fast respond. terima kasih!;5;Positif
Lebih dari 1 tahun lalu;S***d;Barang ori, penjual responsif, pengiriman cepat.;5;Positif
Lebih dari 1 tahun lalu;Nataniel;Barang sudah diterima anak, delivery sameday, semoga tidak ada masalah dan bermanfaat, terima kasih;5;Positif
Lebih dari 1 tahun lalu;A***g;ada beberapa bagian lecet dan tergores;2;Negatif
Lebih dari 1 tahun lalu;Lia;penjual respon cpt.. pengiriman cepat.. di bantu lgsg pakai mksh 😁🤩;5;Positif
Lebih dari 1 tahun lalu;Ayu;respon cepat, dari packing ke pengiriman juga cepat sekali, dibantu setting sampai siap pakai. recommended seller nih...;5;Positif
Lebih dari 1 tahun lalu;Susan;Bagus, semua berfungsi dengan baik;5;Positif
Lebih dari 1 tahun lalu;Teguh;barang cacat layar bergaris, keyboard laptop kurang berfungsi dan kurang nyaman di pakai;2;Negatif
Lebih dari 1 tahun lalu;Timotius;respon penjual sangat baik 2 thumbs up untuk laptop sendiri dengan spec tercantum sudah paling worth di agst 2021 menurut saya dengan harga yang ditawarkan. produk lokal... ;5;Positif
Lebih dari 1 tahun lalu;Mala;Proses cepat, seller memperhatikan kebutuhan konsumen yg diutarakan, software yg diinstall sangat sesuai dengan fungsi laptop. Recommended seller ...;5;Positif
Lebih dari 1 tahun lalu;Desy;Bahagia banget barangnya bagus;5;Positif
Lebih dari 1 tahun lalu;L***m;mantap gannnnn, barang bagus;5;Positif
Lebih dari 1 tahun lalu;Muchdar;ok sesuai dengan gambar 👍👍👍;5;Positif
3 bulan lalu;bharata;Alhamdulillah Seller bertanggung jawab mulai dari pengiriman sampai dengan bantuan install ms office, Terimakasih Axioo;5;Positif
3 bulan lalu;Andi;kecepatan dalam pengiriman kurang, karena ga tau entah kenapa, jadi teman2 kalo pengen cepet nyampe sebaiknya bersabar krn proses tokonya agak lama jadi disarankan g usah... ;3;Negatif
3 bulan lalu;D***i;Barang sesuai, tapi ngirimnya malem amat, bayar buat next day berasa reguler, malah yg di beli reguler dengan tanggal dan jam yg lumayan beda jauh malah lebih cepet sampa... ;4;Positif
3 bulan lalu;Ladi;Terima kasih untuk kurir dan admin nya laptop datang dgn selamat dan juga admin nya past respon deh enggak sia-sia belanja di sini 🙏🙏;5;Positif
3 bulan lalu;Fahri;Drivernya tolong diceck lagi min. Driver Wifi saya bermasalah, hidup mati hidup mati setiap 2/3 menit.;3;Negatif
3 bulan lalu;B***y;tokonya bertanggung jawab;5;Positif
3 bulan lalu;davrielle;perfectlah pokoknya;5;Positif
3 bulan lalu;C***f;yahud. sampai dg selamat;5;Positif
3 bulan lalu;A***l;mantap, barang bagus;5;Positif
3 bulan lalu;J***i;Pesanan sudah sy Terima, kondisi baik, di kelas dgn rapih dan aman Spec sesuai dgn pesanan, trm kadih;5;Positif
4 bulan lalu;Andre;barang yang datang kurang bagus, mati hidup mati hidup;3;Negatif
4 bulan lalu;Yusuf;barang sampai tepat sesuai aplikasi, paking tambahan tergolong murah disini, laptop tiba dalam baterai kosong jadi harus di cas dulu saat video unboxing, banyakin promo l... ;5;Positif
4 bulan lalu;DE;barang bagus, proses antar baik;5;Positif
4 bulan lalu;Dedi;Alhamdulillah paket dan laptopnya diterima denga baik, laptop nya juga mulus.. it's not pricely with spec like this...;5;Positif
4 bulan lalu;J***b;Packing aman, spesifikasi sesuai deskripsi Terimakasih seller 👍✨;5;Positif
4 bulan lalu;Eko;puasss banget, produk oke, dapet rayzen 5 3500;5;Positif
4 bulan lalu;F***i;laptopnya aneh, saat dipakai warna layarnya tidak cerah dan puyeh;3;Negatif
4 bulan lalu;Asep;Mudah mudahan awet, recomended seller fast respon n ramah...;5;Positif
4 bulan lalu;endang;customer service nya bagus banget. walau sudah tutup order. masih bersedia menggantikan tas yang salah ukuran. setting wifi agak masalah, tapi sudah dibereskan sekarang.;5;Positif
4 bulan lalu;Sefri;mantap pengiriman cepat, proses di toko yang agak lama, kualitas mantap harga murah plus discon dan cashback;5;Positif
4 bulan lalu;BAYU;cintailah produk-produk Indonesia,,, terimakasih axioo, dapat bonus tas sama mouse,,;5;Positif
4 bulan lalu;I***g;mantap. barang sudah tiba. tapi blom d buka;5;Positif
4 bulan lalu;RiqRiq;produk bagus, sesuai dengan gambar dan deskripsi harganya ga bikin kantong kering kering amat wkwkw. saya kasih bintang 4 karena saya pesen hari sabtu magrib pake kurir i... ;4;Positif
4 bulan lalu;kelvin;packing rapi, tidak ada cacat, mulus. bagus sekali produknya;5;Positif
4 bulan lalu;Nicholas;Respon cepat.. packing aman pengiriman mantab cepat sampai padahal pake yang reguler.. Topppp;5;Positif
5 bulan lalu;secondsight;laptop dipakai dalam 1 bulan namun sudah banyak yang error;2;Negatif
5 bulan lalu;v***a;barang belum 5 hari layarnya sudah bermasalah. minta ganti baru adminnya entah ga ngerti atau purapura ga ngerti terus. di deskripsi bilang garansi 5 hari diganti baru ta... ;1;Negatif
5 bulan lalu;M***d;packing rapi, sampai dengan selamat, belum ada kendala;5;Positif
5 bulan lalu;Andi;respon dan pengiriman cepat... kemasan rapi..sampai dengan selamat..;5;Positif
5 bulan lalu;Faizal;puas. cuman agak panas ya.. butuh tambahan cooling pad;5;Positif
5 bulan lalu;M***d;Agak lama, kemudian saat datang barangnya jelek beberapa tidak berfungsi normal;3;Negatif
5 bulan lalu;F***l;Mantap, Semoga Bisa Bermanfaat 👍👍👍;5;Positif
5 bulan lalu;Fajri;mayan lah... laptop budget dengan spec jauh d atas harga sekelas;5;Positif
5 bulan lalu;Thio;baru di pakai sdh ada garis di layar. untuk pengemalian prosedurnya lama dan merepotkan.;1;Negatif
5 bulan lalu;hasby;barang bagus, seller cepat. Mantap pokoknya;5;Positif
5 bulan lalu;I***a;bagus.pengiriman cepat dan aman.sesuai deskripsi.produk bisa berfungsi baik.;5;Positif
